"code","name"
"512140032303","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO modelismo y maquetismo"
"512140034103","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO colorido de colecciones"
"512150029301","TÉCNICO SUPERIOR Artista Fallero y Construcción de Escenografías"
"512150031101","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO arte floral"
"512150031202","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO artes aplicadas de la madera"
"512150031203","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO artes aplicadas de la piedra"
"512150031204","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO artes aplicadas del metal"
"512150031501","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO artes aplicadas al muro"
"512150031502","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO mosaicos"
"512150033101","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO esmalte artístico al fuego sobre metales"
"512150033201","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO bisutería artística"
"512150033202","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO joyería artística"
"512150033203","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO orfebrería y platería artísticas"
"512150034101","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO arte textil"
"512150034102","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO bordados y reposteros"
"512150034104","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO encajes artísticos"
"512150034105","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO estampaciones y tintados artísticos"
"512150034106","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO estilismo de tejidos de calada"
"512150034107","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO tejidos en bajo lizo"
"512150035101","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO cerámica artística"
"512150035102","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO modelismo y matricería cerámica"
"512150035103","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO pavimentos y revestimientos cerámicos"
"512150035104","TÉCNICO SUPERIOR de Artes Plásticas y Diseño en Recubrimientos Cerámicos"
"512150035201","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO artes del vidrio"
"512150035202","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO vidrieras artísticas"
"512230028404","TÉCNICO SUPERIOR interpretación de la lengua de signos"
"513120028406","TÉCNICO SUPERIOR en Promoción de Igualdad de Género"
"513220022104","TÉCNICO SUPERIOR documentación sanitaria"
"513410023101","TÉCNICO SUPERIOR comercio internacional"
"513410023104","TÉCNICO SUPERIOR servicios al consumidor"
"513410023108","TÉCNICO SUPERIOR en Comercio Internacional"
"513420023102","TÉCNICO SUPERIOR gestión comercial y marketing"
"513420023105","TÉCNICO SUPERIOR en Marketing y Publicidad"
"513420023107","TÉCNICO SUPERIOR en Gestión de Ventas y Espacios Comerciales"
"513450023103","TÉCNICO SUPERIOR gestión del transporte"
"513450023106","TÉCNICO SUPERIOR en Transporte y Logística"
"513450027101","TÉCNICO SUPERIOR administracion y finanzas"
"513460027102","TÉCNICO SUPERIOR secretariado"
"513460027103","TÉCNICO SUPERIOR en Asistencia a la Dirección"
"514810027401","TÉCNICO SUPERIOR administracion de sistemas informáticos"
"514810027402","TÉCNICO SUPERIOR desarrollo de aplicaciones informáticas"
"514810027403","TÉCNICO SUPERIOR en Desarrollo de Aplicaciones Web"
"514810027404","TÉCNICO SUPERIOR en Administración de Sistemas Informáticos en Red"
"514810027405","TÉCNICO SUPERIOR en Desarrollo de Aplicaciones Multiplataforma"
"515200027502","TÉCNICO SUPERIOR mantenimiento de equipo industrial"
"515200027507","TÉCNICO SUPERIOR en Mecatrónica Industrial"
"515210026201","TÉCNICO SUPERIOR construcciones metálicas"
"515210026202","TÉCNICO SUPERIOR desarrollo de proyectos mecánicos"
"515210026204","TÉCNICO SUPERIOR producción por fundición y pulvimetalurgia"
"515210026205","TÉCNICO SUPERIOR producción por mecanizado"
"515210026206","TÉCNICO SUPERIOR en Programación de la Producción en Fabricación Mecánica"
"515210026207","TÉCNICO SUPERIOR en Diseño en Fabricación Mecánica"
"515210026208","TÉCNICO SUPERIOR en Programación de la Producción en Moldeo de Metales y Polímeros"
"515210027501","TÉCNICO SUPERIOR desarrollo de proyectos de instalaciones de fluidos, térmicas y de manutención"
"515210027505","TÉCNICO SUPERIOR en Desarrollo de Proyectos de Instalaciones Térmicas y de Fluidos"
"515220021401","TÉCNICO SUPERIOR en Eficiencia Energética y Energía Solar Térmica"
"515220021402","TÉCNICO SUPERIOR en Centrales Eléctricas"
"515220021403","TÉCNICO SUPERIOR en Energías Renovables"
"515220027302","TÉCNICO SUPERIOR instalaciones electrotécnicas"
"515220027305","TÉCNICO SUPERIOR en Sistemas Electrotécnicos y Automatizados"
"515220027503","TÉCNICO SUPERIOR mantenimiento y montaje de instalaciones de edificio y proceso"
"515220027506","TÉCNICO SUPERIOR en Mantenimiento de Instalaciones Térmicas y de Fluidos"
