"id","code","description"
"ocu_300","5629","Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes"
"ocu_301","5710","Trabajadores de los cuidados personales a domicilio"
"ocu_302","5721","Cuidadores de niños en guarderías y centros educativos"
"ocu_303","5722","Cuidadores de niños en domicilios"
"ocu_304","5811","Peluqueros"
"ocu_305","5812","Especialistas en tratamientos de estética"
"ocu_306","5821","Auxiliares de vuelo y camareros de avión"
"ocu_307","5822","Revisores y cobradores de transporte terrestre"
"ocu_308","5823","Acompañantes turísticos"
"ocu_309","5824","Azafatos de tierra"
"ocu_310","5825","Guías de turismo"
"ocu_311","5831","Supervisores de mantenimiento y limpieza en oficinas"
"ocu_312","5832","Mayordomos del servicio doméstico"
"ocu_313","5833","Conserjes de edificios"
"ocu_314","5840","Trabajadores propietarios de pequeños alojamientos"
"ocu_315","5891","Asistentes personales o personas de compañía"
"ocu_316","5892","Empleados de pompas fúnebres y embalsamadores"
"ocu_317","5893","Cuidadores de animales y adiestradores"
"ocu_318","5894","Instructores de autoescuela"
"ocu_319","5895","Astrólogos"
"ocu_320","5899","Trabajadores de servicios personales no clasificados bajo otros epígrafes"
"ocu_321","5910","Guardias civiles"
"ocu_322","5921","Policías nacionales"
"ocu_323","5922","Policías autonómicos"
"ocu_324","5923","Policías locales"
"ocu_325","5931","Bomberos (excepto forestales)"
"ocu_326","5932","Bomberos forestales"
"ocu_327","5941","Vigilantes de seguridad y similares habilitados para ir armados"
"ocu_328","5942","Auxiliares de vigilante de seguridad y similares no habilitados para ir armados"
"ocu_329","5991","Vigilantes de prisiones"
"ocu_330","5992","Bañistas-socorristas"
"ocu_331","5993","Agentes forestales y medioambientales"
"ocu_332","5999","Trabajadores de los servicios de protección y seguridad no clasificados bajo otros epígrafes"
"ocu_333","6110","Trabajadores cualificados en actividades agrícolas (excepto en huertas"
"ocu_334","6120","Trabajadores cualificados en huertas"
"ocu_335","6201","Trabajadores cualificados en actividades ganaderas de vacuno"
"ocu_336","6202","Trabajadores cualificados en actividades ganaderas de ovino y caprino"
"ocu_337","6203","Trabajadores cualificados en actividades ganaderas de porcino"
"ocu_338","6204","Trabajadores cualificados en apicultura y sericicultura"
"ocu_339","6205","Trabajadores cualificados en la avicultura y la cunicultura"
"ocu_340","6209","Trabajadores cualificados en actividades ganaderas no clasificados bajo otros epígrafes"
"ocu_341","6300","Trabajadores cualificados en actividades agropecuarias mixtas"
"ocu_342","6410","Trabajadores cualificados en actividades forestales y del medio natural"
"ocu_343","6421","Trabajadores cualificados en la acuicultura"
"ocu_344","6422","Pescadores de aguas costeras y aguas dulces"
"ocu_345","6423","Pescadores de altura"
"ocu_346","6430","Trabajadores cualificados en actividades cinegéticas"
"ocu_347","7111","Encofradores y operarios de puesta en obra de hormigón"
"ocu_348","7112","Montadores de prefabricados estructurales (sólo hormigón)"
"ocu_349","7121","Albañiles"
"ocu_350","7122","Canteros"
"ocu_351","7131","Carpinteros (excepto ebanistas)"
"ocu_352","7132","Instaladores de cerramientos metálicos y carpinteros metálicos (excepto montadores de estructuras metálicas)"
"ocu_353","7191","Mantenedores de edificios"
"ocu_354","7192","Instaladores de fachadas técnicas"
